WARNING: src/modules/memory/instruction_memory.v:13: $readmemb(data/inst.mem): Not enough words in the file for the requested range [0:63].
                   0 ** Start Simulation **
                   0 Instruction Memory 
VCD info: dumpfile sim.vcd opened for output.
                   0 [PC] pc :          x
                2315 [PC] pc :         16
                2325 [PC] pc :         20
                2335 [PC] pc :         24
                2345 [PC] pc :         28
                2355 [PC] pc :         32
                2365 [PC] pc :         36
                2375 [PC] pc :         40
                2385 [PC] pc :         44
                2405 [PC] pc :         48
                2415 [PC] pc :         52
                2425 [PC] pc :        112
                2435 [PC] pc :        116
                2445 [PC] pc :        120
                2455 [PC] pc :        124
                2465 [PC] pc :        128
                2475 [PC] pc :        132
                2485 [PC] pc :        136
                2495 [PC] pc :        140
                2505 [PC] pc :          0
                2515 [PC] pc :          4
                2525 [PC] pc :          8
                2535 [PC] pc :         12
                2545 [PC] pc :        136
                2555 [PC] pc :        140
                2565 [PC] pc :        144
                2575 [PC] pc :        148
                2585 [PC] pc :        152
                2595 [PC] pc :        156
                2605 [PC] pc :        160
                2615 [PC] pc :        164
                2625 [PC] pc :        168
                2635 [PC] pc :        172
                2645 [PC] pc :          8
                2655 [PC] pc :         12
                2665 [PC] pc :         16
                2675 [PC] pc :         20
                2685 [PC] pc :         24
                2695 [PC] pc :         28
                2705 [PC] pc :         32
                2715 [PC] pc :         36
                2725 [PC] pc :         40
                2735 [PC] pc :         44
                2755 [PC] pc :         48
                2765 [PC] pc :         52
                2775 [PC] pc :        112
                2785 [PC] pc :        116
                2795 [PC] pc :        120
                2805 [PC] pc :        124
                2815 [PC] pc :        128
                2825 [PC] pc :        132
                2835 [PC] pc :        136
                2845 [PC] pc :        140
                2855 [PC] pc :          0
                2865 [PC] pc :          4
                2875 [PC] pc :          8
                2885 [PC] pc :         12
                2895 [PC] pc :        136
                2905 [PC] pc :        140
                2915 [PC] pc :        144
                2925 [PC] pc :        148
                2935 [PC] pc :        152
                2945 [PC] pc :        156
                2955 [PC] pc :        160
                2965 [PC] pc :        164
                2975 [PC] pc :        168
                2985 [PC] pc :        172
                2995 [PC] pc :          8
                3005 [PC] pc :         12
                3015 [PC] pc :         16
                3025 [PC] pc :         20
                3035 [PC] pc :         24
                3045 [PC] pc :         28
                3055 [PC] pc :         32
                3065 [PC] pc :         36
                3075 [PC] pc :         40
                3085 [PC] pc :         44
                3105 [PC] pc :         48
                3115 [PC] pc :         52
                3125 [PC] pc :        112
                3135 [PC] pc :        116
                3145 [PC] pc :        120
                3155 [PC] pc :        124
                3165 [PC] pc :        128
                3175 [PC] pc :        132
                3185 [PC] pc :        136
                3195 [PC] pc :        140
                3205 [PC] pc :          0
                3215 [PC] pc :          4
                3225 [PC] pc :          8
                3235 [PC] pc :         12
                3245 [PC] pc :        136
                3255 [PC] pc :        140
                3265 [PC] pc :        144
                3275 [PC] pc :        148
                3285 [PC] pc :        152
                3295 [PC] pc :        156
                3305 [PC] pc :        160
                3315 [PC] pc :        164
                3325 [PC] pc :        168
                3335 [PC] pc :        172
                3345 [PC] pc :          8
                3355 [PC] pc :         12
                3365 [PC] pc :         16
                3375 [PC] pc :         20
                3385 [PC] pc :         24
                3395 [PC] pc :         28
                3405 [PC] pc :         32
                3415 [PC] pc :         36
                3425 [PC] pc :         40
                3435 [PC] pc :         44
                3455 [PC] pc :         48
                3465 [PC] pc :         52
                3475 [PC] pc :        112
                3485 [PC] pc :        116
                3495 [PC] pc :        120
                3505 [PC] pc :        124
                3515 [PC] pc :        128
                3525 [PC] pc :        132
                3535 [PC] pc :        136
                3545 [PC] pc :        140
                3555 [PC] pc :          0
                3565 [PC] pc :          4
                3575 [PC] pc :          8
                3585 [PC] pc :         12
                3595 [PC] pc :        136
                3605 [PC] pc :        140
                3615 [PC] pc :        144
                3625 [PC] pc :        148
                3635 [PC] pc :        152
                3645 [PC] pc :        156
                3655 [PC] pc :        160
                3665 [PC] pc :        164
                3675 [PC] pc :        168
                3685 [PC] pc :        172
                3695 [PC] pc :          8
                3705 [PC] pc :         12
                3715 [PC] pc :         16
                3725 [PC] pc :         20
                3735 [PC] pc :         24
